relation;parentClassName;parentName;parentClassNameOfSpecial;parentNameOfSpecial;sourceClassName;sourceName;parentClassName;parentName;parentClassName;parentName;targetClassName;targetName
endpointB;Distrito;Paita;WireContainer;48F-Paita;OpticalLink;F-001;NAP;N01;FiberSplitter;A;OpticalPort;001-IN
endpointB;Distrito;Paita;WireContainer;48F-Paita;OpticalLink;F-002;NAP;N01;FiberSplitter;B;OpticalPort;001-IN
endpointB;Distrito;Paita;WireContainer;48F-Paita;OpticalLink;F-003;NAP;N02;FiberSplitter;A;OpticalPort;001-IN
endpointB;Distrito;Paita;WireContainer;48F-Paita;OpticalLink;F-004;NAP;N02;FiberSplitter;B;OpticalPort;001-IN
endpointB;Distrito;Paita;WireContainer;48F-Paita;OpticalLink;F-005;NAP;N03;FiberSplitter;A;OpticalPort;001-IN
endpointB;Distrito;Paita;WireContainer;48F-Paita;OpticalLink;F-006;NAP;N03;FiberSplitter;B;OpticalPort;001-IN
endpointB;Distrito;Paita;WireContainer;48F-Paita;OpticalLink;F-007;NAP;N04;FiberSplitter;A;OpticalPort;001-IN
endpointB;Distrito;Paita;WireContainer;48F-Paita;OpticalLink;F-008;NAP;N04;FiberSplitter;B;OpticalPort;001-IN
endpointB;Distrito;Paita;WireContainer;48F-Paita;OpticalLink;F-009;NAP;N05;FiberSplitter;A;OpticalPort;001-IN
endpointB;Distrito;Paita;WireContainer;48F-Paita;OpticalLink;F-010;NAP;N05;FiberSplitter;B;OpticalPort;001-IN
endpointB;Distrito;Paita;WireContainer;48F-Paita;OpticalLink;F-011;NAP;N06;FiberSplitter;A;OpticalPort;001-IN
endpointB;Distrito;Paita;WireContainer;48F-Paita;OpticalLink;F-012;NAP;N06;FiberSplitter;B;OpticalPort;001-IN
endpointB;Distrito;Paita;WireContainer;48F-Paita;OpticalLink;F-013;NAP;N07;FiberSplitter;A;OpticalPort;001-IN
endpointB;Distrito;Paita;WireContainer;48F-Paita;OpticalLink;F-014;NAP;N07;FiberSplitter;B;OpticalPort;001-IN
endpointB;Distrito;Paita;WireContainer;48F-Paita;OpticalLink;F-015;NAP;N08;FiberSplitter;A;OpticalPort;001-IN
endpointB;Distrito;Paita;WireContainer;48F-Paita;OpticalLink;F-016;NAP;N08;FiberSplitter;B;OpticalPort;001-IN
endpointB;Distrito;Paita;WireContainer;24F-Paita;OpticalLink;F-001;NAP;N09;FiberSplitter;A;OpticalPort;001-IN
endpointB;Distrito;Paita;WireContainer;24F-Paita;OpticalLink;F-002;NAP;N09;FiberSplitter;B;OpticalPort;001-IN
