relation;parentClassName;parentName;parentClassName;parentName;sourceClassName;sourceName;parentClassName;parentName;parentClassNameOfSpecial;parentNameOfSpecial;targetClassName;targetName
endpointA;Divicau;D01;FiberSplitter;SP01;OpticalPort;001-OUT;Distrito;Paita;WireContainer;48F-Paita;OpticalLink;F-001
endpointA;Divicau;D01;FiberSplitter;SP02;OpticalPort;001-OUT;Distrito;Paita;WireContainer;48F-Paita;OpticalLink;F-002
endpointA;Divicau;D01;FiberSplitter;SP01;OpticalPort;002-OUT;Distrito;Paita;WireContainer;48F-Paita;OpticalLink;F-003
endpointA;Divicau;D01;FiberSplitter;SP02;OpticalPort;002-OUT;Distrito;Paita;WireContainer;48F-Paita;OpticalLink;F-004
endpointA;Divicau;D01;FiberSplitter;SP01;OpticalPort;003-OUT;Distrito;Paita;WireContainer;48F-Paita;OpticalLink;F-005
endpointA;Divicau;D01;FiberSplitter;SP02;OpticalPort;003-OUT;Distrito;Paita;WireContainer;48F-Paita;OpticalLink;F-006
endpointA;Divicau;D01;FiberSplitter;SP01;OpticalPort;004-OUT;Distrito;Paita;WireContainer;48F-Paita;OpticalLink;F-007
endpointA;Divicau;D01;FiberSplitter;SP02;OpticalPort;004-OUT;Distrito;Paita;WireContainer;48F-Paita;OpticalLink;F-008
endpointA;Divicau;D01;FiberSplitter;SP01;OpticalPort;005-OUT;Distrito;Paita;WireContainer;48F-Paita;OpticalLink;F-009
endpointA;Divicau;D01;FiberSplitter;SP02;OpticalPort;005-OUT;Distrito;Paita;WireContainer;48F-Paita;OpticalLink;F-010
endpointA;Divicau;D01;FiberSplitter;SP01;OpticalPort;006-OUT;Distrito;Paita;WireContainer;48F-Paita;OpticalLink;F-011
endpointA;Divicau;D01;FiberSplitter;SP02;OpticalPort;006-OUT;Distrito;Paita;WireContainer;48F-Paita;OpticalLink;F-012
endpointA;Divicau;D01;FiberSplitter;SP01;OpticalPort;007-OUT;Distrito;Paita;WireContainer;48F-Paita;OpticalLink;F-013
endpointA;Divicau;D01;FiberSplitter;SP02;OpticalPort;007-OUT;Distrito;Paita;WireContainer;48F-Paita;OpticalLink;F-014
endpointA;Divicau;D01;FiberSplitter;SP01;OpticalPort;008-OUT;Distrito;Paita;WireContainer;48F-Paita;OpticalLink;F-015
endpointA;Divicau;D01;FiberSplitter;SP02;OpticalPort;008-OUT;Distrito;Paita;WireContainer;48F-Paita;OpticalLink;F-016
endpointA;Divicau;D01;FiberSplitter;SP03;OpticalPort;001-OUT;Distrito;Paita;WireContainer;24F-Paita;OpticalLink;F-001
endpointA;Divicau;D01;FiberSplitter;SP04;OpticalPort;001-OUT;Distrito;Paita;WireContainer;24F-Paita;OpticalLink;F-002
