N° ODF;PUERTO EN ODF;CABLE ALIMENTADOR;CAPACIDAD ALIMENTADOR;HILO ALIMENTADOR;N° DIVICAU;SPLITTER PRIMARIO;HILOS DE SALIDA EN SPLITTER;CALBE DISTRIBUIDOR;CAPACIDAD DITRIBUIDOR;HILO DISTRIBUIDOR;NAP;SPLITTER SECUNDARIO
TA01;P1;TA01;144F;F1;D01;SP01;1;S1;48F;F1;N01;A
TA01;P2;TA01;144F;F2;D01;SP02;1;S1;48F;F2;N01;B
TA01;P1;TA01;144F;F1;D01;SP01;2;S1;48F;F3;N02;A
TA01;P2;TA01;144F;F2;D01;SP02;2;S1;48F;F4;N02;B
TA01;P1;TA01;144F;F1;D01;SP01;3;S1;48F;F5;N03;A
TA01;P2;TA01;144F;F2;D01;SP02;3;S1;48F;F6;N03;B
TA01;P1;TA01;144F;F1;D01;SP01;4;S1;48F;F7;N04;A
TA01;P2;TA01;144F;F2;D01;SP02;4;S1;48F;F8;N04;B
TA01;P1;TA01;144F;F1;D01;SP01;5;S1;48F;F9;N05;A
TA01;P2;TA01;144F;F2;D01;SP02;5;S1;48F;F10;N05;B
TA01;P1;TA01;144F;F1;D01;SP01;6;S1;48F;F11;N06;A
TA01;P2;TA01;144F;F2;D01;SP02;6;S1;48F;F12;N06;B
TA01;P1;TA01;144F;F1;D01;SP01;7;S1;48F;F13;N07;A
TA01;P2;TA01;144F;F2;D01;SP02;7;S1;48F;F14;N07;B
TA01;P1;TA01;144F;F1;D01;SP01;8;S1;48F;F15;N08;A
TA01;P2;TA01;144F;F2;D01;SP02;8;S1;48F;F16;N08;B
TA01;P3;TA01;144F;F3;D01;SP03;1;S2;24F;F1;N09;A
TA01;P4;TA01;144F;F4;D01;SP04;1;S2;24F;F2;N09;B
